brightness,temperature,humidity,motion_detected,output
941,27.79,67.78,0,0
940,27.79,67.78,0,0
941,27.79,67.78,0,0
941,27.79,67.76,0,0
940,27.79,67.76,0,0
940,27.8,67.8,0,0
941,27.8,67.8,0,0
941,27.79,67.79,0,0
940,27.79,67.79,0,0
940,27.79,67.81,0,0
941,27.79,67.81,0,0
932,27.79,67.79,0,0
945,27.79,67.79,0,0
930,27.79,67.81,0,0
941,27.79,67.81,0,0
936,27.79,67.81,0,0
940,27.77,67.8,0,0
941,27.77,67.8,0,0
941,27.8,67.8,1,0
941,27.8,67.8,1,0
940,27.79,67.81,1,0
940,27.79,67.81,1,0
929,27.8,67.85,1,0
941,27.8,67.85,1,0
940,27.79,67.83,1,0
931,27.79,67.83,1,0
941,27.8,67.86,1,0
939,27.8,67.86,1,0
941,27.81,67.83,1,0
941,27.81,67.83,1,0
941,27.8,67.85,0,0
936,27.8,67.85,0,0
936,27.81,67.85,0,0
935,27.81,67.85,0,0
941,27.8,67.83,0,0
941,27.8,67.83,0,0
943,27.81,67.81,0,0
936,27.81,67.81,0,0
935,27.8,67.81,0,0
940,27.8,67.81,1,0
941,27.8,67.81,1,0
941,27.83,67.8,1,0
943,27.83,67.8,1,0
940,27.8,67.88,1,0
935,27.8,67.88,1,0
935,27.81,67.95,1,0
936,27.81,67.95,1,0
935,27.79,67.94,1,0
936,27.79,67.94,1,0
940,27.81,67.99,1,0
939,27.81,67.99,1,0
935,27.8,67.96,1,0
941,27.8,67.96,1,0
932,27.8,67.93,1,0
941,27.8,67.93,1,0
937,27.81,67.93,1,0
941,27.81,67.93,1,0
940,27.8,67.92,1,0
940,27.8,67.92,1,0
941,27.81,67.89,1,0
941,27.81,67.89,0,0
941,27.8,67.9,0,0
940,27.8,67.9,0,0
940,27.8,67.9,0,0
941,27.82,67.86,0,0
940,27.82,67.86,0,0
940,27.8,67.87,0,0
940,27.8,67.87,0,0
936,27.82,67.87,0,0
943,27.82,67.87,0,0
945,27.81,67.82,0,0
940,27.81,67.82,0,0
936,27.82,67.77,0,0
939,27.82,67.77,0,0
940,27.81,67.82,0,0
940,27.81,67.82,0,0
936,27.82,67.79,0,0
940,27.82,67.79,0,0
940,27.82,67.77,0,0
940,27.82,67.77,0,0
941,27.83,67.79,0,0
941,27.83,67.79,0,0
941,27.82,67.77,0,0
940,27.82,67.77,0,0
940,27.82,67.77,0,0
941,27.82,67.77,0,0
940,27.82,67.77,0,0
940,27.82,67.77,0,0
940,27.82,67.77,0,0
940,27.82,67.77,0,0
941,27.82,67.77,0,0
941,27.8,67.74,1,0
939,27.8,67.74,1,0
941,27.8,67.74,1,0
935,27.8,67.74,1,0
936,27.82,67.77,1,0
940,27.82,67.77,0,0
940,27.83,67.75,0,0
941,27.83,67.75,0,0
920,27.83,67.77,0,0
941,27.83,67.77,0,0
941,27.83,67.76,0,0
2,28.52,76.17,0,0
0,28.52,76.17,0,0
0,28.53,76.24,0,0
0,28.53,76.24,0,0
0,28.5,76.24,0,0
0,28.5,76.24,0,0
0,28.51,76.36,0,0
0,28.51,76.36,0,0
0,28.52,76.42,0,0
0,28.52,76.42,0,0
0,28.53,76.51,0,0
0,28.53,76.51,0,0
0,28.53,76.57,0,0
0,28.53,76.57,0,0
0,28.52,76.56,0,0
0,28.52,76.56,0,0
0,28.52,76.59,0,0
0,28.52,76.59,0,0
0,28.53,76.62,0,0
0,28.53,76.62,0,0
0,28.54,76.58,0,0
0,28.54,76.58,0,0
0,28.51,76.59,0,0
0,28.51,76.59,0,0
0,28.51,76.59,0,0
0,28.54,76.59,0,0
0,28.54,76.59,0,0
0,28.53,76.53,0,0
0,28.53,76.53,0,0
0,28.53,76.46,0,0
0,28.53,76.46,0,0
0,28.52,76.43,0,0
0,28.52,76.43,0,0
0,28.54,76.39,0,0
0,28.54,76.39,0,0
0,28.53,76.32,0,0
3,28.53,76.32,0,0
8,28.52,76.22,0,0
4,28.52,76.22,0,0
3,28.53,76.14,0,0
5,28.53,76.14,0,0
4,28.54,76.07,0,0
6,28.54,76.07,0,0
6,28.54,76.06,0,0
4,28.54,76.06,0,0
6,28.53,76.1,0,0
5,28.53,76.1,0,0
